Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
4.3 x 3.1 x 0.55 inches,B0BQX6NNVC,"December 22, 2022",Toshiba,Philippines,#3 in External Hard Drives,Black,HDTB520XK3AA,5.3 ounces,$71.57,$27.02,$0.00,15
0.38 x 2.07 x 3.97 inches,B08HN37XC1,"September 8, 2020",No,China,#1 in External Solid State Drives,Black,SDSSDE61-2T00-G25,1.76 ounces,$168.12,$26.83,$22.73,15
3.39 x 2.24 x 0.49 inches,B0BHZQGN26,"November 15, 2022",No,"Moldova, Republic of",#5 in External Solid State Drives,Black,MU-PE4T0S/AM,3.42 ounces,$299.99,$26.83,$37.39,15
3.3 x 2.2 x 0.3 inches,B0874XN4D8,"May 19, 2020",No,"Korea, Republic of",#2 in External Solid State Drives,Titan Gray,MU-PC1T0T,2.08 ounces,$114.99,$26.59,$16.82,15
3.07 x 1.24 x 2.08 inches,B08K3S6WJM,"September 24, 2020",Seagate,Thailand,#82 in Video Games (See Top 100 in Video Games)  #1 in Xbox One Memory  #3 in External Solid State Drives,Multicolor,STJR1000400,1.06 ounces,$149.99,$26.05,$20.64,15
3.46 x 2.36 x 0.55 inches,B0CHFSZX9W,"October 3, 2023",Samsung,"Korea, Republic of",#23 in External Solid State Drives,Black,MU-PG4T0B/AM,4.3 ounces,None,None,None,N/A
4.35 x 3.23 x 0.59 inches,B06W55K9N6,"February 27, 2017",No,China,#6 in External Hard Drives,Black,WDBU6Y0020BBK-WESN,4.6 ounces,None,None,None,N/A
17.83 x 9.06 x 18.35 inches,B08C7BGV3D,"July 2, 2020",Corsair,China,#1 in Computer Cases,None,CC-9011200-WW,17.31 pounds,None,None,None,N/A
5.3 x 3.4 x 0.79 inches,B00IRV005E,"March 4, 2014",No,Thailand,#10 in External Hard Drives,orange,LAC9000298,5.9 ounces,None,None,None,N/A
3.4 x 2.2 x 0.3 inches,B082YGVGQL,"February 24, 2020",No,"Korea, Republic of",#7 in External Solid State Drives,Black,MU-PC2T0K/WW,2 ounces,None,None,None,N/A
0.41 x 2.28 x 4.36 inches,B08GV9M64L,"September 30, 2020",No,China,#9 in External Solid State Drives,Black,SDSSDE81-1T00-G25,2.72 ounces,None,None,None,N/A
4.37 x 3.15 x 0.53 inches,B08JKHPV1V,"October 16, 2020",No,Philippines,#14 in External Hard Drives,Silver,HDTX120XSCAA,5.3 ounces,$79.99,$27.18,$13.00,15
2.56 x 1.97 x 0.39 inches,B0C9WJQ9GP,"July 25, 2023",Crucial,Thailand,#27 in External Solid State Drives,Black,CT4000X10PROSSD902,1.48 ounces,$299.99,$25.71,$37.27,15
3.81 x 1.85 x 0.39 inches,B08RSH8YDJ,"February 12, 2021",No,China,#13 in External Solid State Drives,Grey,SDSSDE30-1T00-G25,1.44 ounces,$74.99,$26.52,$12.36,N/A
4.22 x 2.95 x 0.75 inches,B07VTW2LPX,"August 26, 2019",No,Thailand,#15 in External Hard Drives,Black,WDBPKJ0040BBK-WESN,7.4 ounces,$109.99,$27.54,$16.36,15
5.31 x 1.89 x 6.53 inches,B09VCXWPQG,"April 5, 2022","Western Digital Technologies, Inc.",Thailand,#47 in External Hard Drives,Black,WDBWLG0200HBK-NESN,1.98 pounds,$359.99,$36.16,$0.00,N/A
2.56 x 1.97 x 0.39 inches,B0CGW1FQV4,"September 26, 2023",Micron,Thailand,#17 in External Solid State Drives,Black,CT1000X9SSD902,1.13 ounces,$85.99,$25.51,$13.47,15
6.5 x 6.4 x 1 inches,B07DLRG9VH,"May 29, 2018",Rioddas,China,#2 in External CD & DVD Drives,None,BT638,7 ounces,$41.38,$27.98,$0.00,15
2.19 x 1.24 x 0.3 inches,B0C44XVWCH,"June 7, 2023",Western Digital Technologies Inc.,Malaysia,#393 in Video Games (See Top 100 in Video Games)  #21 in External Solid State Drives  #25 in Xbox Legacy Systems,Black,WDBMPH0010BNC-WCSN,0.882 ounces,$149.99,$25.51,$48.05,15
4.36 x 2.28 x 0.47 inches,B0BW6715SV,"May 8, 2023","Western Digital Technologies, Inc",Malaysia,#38 in External Solid State Drives,Black,SDPS31H-004T-GBCND,4.3 ounces,$399.99,$26.47,$48.45,15
23 x 15 x 23 inches,B0BFZZ3ZWZ,"January 12, 2023",NZXT,China,#4 in Computer Cases,Black,CM-H91FB-01,11 pounds,$159.99,$221.30,$43.44,15
2.54 x 2.54 x 0.34 inches,B097TSN41S,"June 30, 2021",No,China,#25 in External Solid State Drives,Black,WDBAYN0020BBK-WESN,0.952 ounces,$119.99,$26.39,$17.35,15
17.56 x 8.94 x 18.27 inches,B0B6Y15C5L,"October 25, 2022",NZXT,China,#3 in Computer Cases,Black,CC-H51FB-01,15.45 pounds,$94.99,$164.84,$29.94,15
4.3 x 3.1 x 0.77 inches,B08JKCWRTD,"October 16, 2020",No,Philippines,#31 in External Hard Drives,Black,HDTCA40XK3CA,7.7 ounces,$99.99,$27.46,$0.00,N/A
16.34 x 11.3 x 17.13 inches,B0C89FCDFP,"November 2, 2023",NZXT,China,#5 in Computer Cases,Black,CC-H61FB-01,20.7 pounds,$101.99,$188.64,$33.37,15
